Primary_Code,Location,Date,Transect,Replicate,Species,Length,Weight,ID_Code,Age,Sex,Collection_Technique
SH101612BK,SH,16-Oct-12,SHWPBTEF03,,CHC,526,1519,A2,7,,BTEF
SH101612BK,SH,16-Oct-12,SHWPBTEF03,,CHC,227,86,A3,1,,BTEF
SH101612BK,SH,16-Oct-12,SHWPBTEF03,,CHC,214,70,A4,1,,BTEF
SH101612BK,SH,16-Oct-12,SHWPBTEF03,,CHC,226,85,A5,1,,BTEF
SH101612BK,SH,16-Oct-12,SHWPBTEF03,,CHC,508,1223,A1,10,Female,BTEF
SH091613BK,SH,16-Sep-13,SHWPHONT03,1,CHC,501,1156,A3,7,Female,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT03,1,CHC,486,993,A6,10,Female,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT06,1,CHC,732,3655,B4,16,Female,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT06,1,CHC,630,2326,B6,10,Female,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT06,1,CHC,588,1528,B7,9,Female,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT06,1,CHC,537,1188,B9,9,Female,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT06,1,CHC,637,2807,B12,11,Female,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT06,1,CHC,591,1678,C1,12,Female,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT06,1,CHC,496,934,C3,6,Female,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT06,1,CHC,425,617,C4,9,Female,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT06,1,CHC,419,594,C5,5,Female,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT03,1,CHC,458,685,A1,9,Female,HONT
SH091813BK,SH,18-Sep-13,SHWPHONT02,2,CHC,555,1510,C7,19,Female,HONT
SH091813BK,SH,18-Sep-13,SHWPHONT02,2,CHC,559,1651,C9,10,Female,HONT
SH091813BK,SH,18-Sep-13,SHWPHONT02,2,CHC,495,1193,D4,9,Female,HONT
SH091813BK,SH,18-Sep-13,SHWPHONT02,2,CHC,455,871,D5,6,Female,HONT
SH091813BK,SH,18-Sep-13,SHWPHONT02,2,CHC,547,1292,D6,9,Female,HONT
SH091813BK,SH,18-Sep-13,SHWPHONT02,2,CHC,455,703,D7,9,Female,HONT
SH091813BK,SH,18-Sep-13,SHWPHONT02,2,CHC,458,785,D9,11,Female,HONT
SH091813BK,SH,18-Sep-13,SHWPHONT02,2,CHC,373,413,D12,8,Female,HONT
SH091813BK,SH,18-Sep-13,SHWPHONT02,2,CHC,349,322,E1,6,Female,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT03,1,CHC,615,2458,A2,9,Male,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT03,1,CHC,441,685,A4,3,Male,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT03,1,CHC,608,2095,A5,7,Male,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT03,1,CHC,415,553,A7,6,Male,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT04,1,CHC,377,485,A8,4,Male,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT04,1,CHC,367,404,A9,6,Male,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT04,1,CHC,410,544,A10,5,Male,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT05,1,CHC,331,249,A11,3,Male,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT06,1,CHC,630,2703,A12,8,Male,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT06,1,CHC,585,1909,B1,6,Male,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT06,1,CHC,634,2707,B2,11,Male,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT06,1,CHC,566,1864,B3,6,Male,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT06,1,CHC,616,2431,B5,10,Male,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT06,1,CHC,470,857,B8,4,Male,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT06,1,CHC,501,1138,B10,5,Male,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT06,1,CHC,496,1134,B11,6,Male,HONT
SH091613BK,SH,16-Sep-13,SHWPHONT06,1,CHC,561,,C2,9,Male,HONT
SH091813BK,SH,18-Sep-13,SHWPHONT02,2,CHC,578,2422,C6,9,Male,HONT
SH091813BK,SH,18-Sep-13,SHWPHONT02,2,CHC,362,349,C8,3,Male,HONT
SH091813BK,SH,18-Sep-13,SHWPHONT02,2,CHC,620,2762,C10,6,Male,HONT
SH091813BK,SH,18-Sep-13,SHWPHONT02,2,CHC,569,1723,C11,9,Male,HONT
SH091813BK,SH,18-Sep-13,SHWPHONT02,2,CHC,510,1224,C12,4,Male,HONT
SH091813BK,SH,18-Sep-13,SHWPHONT02,2,CHC,515,1320,D1,8,Male,HONT
SH091813BK,SH,18-Sep-13,SHWPHONT02,2,CHC,317,240,D2,3,Male,HONT
SH091813BK,SH,18-Sep-13,SHWPHONT02,2,CHC,475,912,D3,9,Male,HONT
SH091813BK,SH,18-Sep-13,SHWPHONT02,2,CHC,419,685,D8,5,Male,HONT
SH091813BK,SH,18-Sep-13,SHWPHONT02,2,CHC,399,549,D10,8,Male,HONT
SH091813BK,SH,18-Sep-13,SHWPHONT02,2,CHC,334,299,D11,3,Male,HONT
SH091813BK,SH,18-Sep-13,SHWPHONT02,2,CHC,362,417,E2,5,Male,HONT
